"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"SDR","SITEMINDER LIMITED","2021-11-08","Consumer Services",1225789619
"SDV","SCIDEV LTD","2002-05-02","Materials",46964170
"SE1","SENSERA LIMITED","2016-12-23","Semiconductors & Semiconductor Equipment",7037940
"SEC","SPHERIA EMERGING COMPANIES LIMITED","2017-12-05","Not Applic",131729886
"SEG","SPORTS ENTERTAINMENT GROUP LIMITED","2000-11-28","Media & Entertainment",57847447
"SEK","SEEK LIMITED","2005-04-19","Media & Entertainment",9028504047
"SEN","SENETAS CORPORATION LIMITED","1984-06-21","Technology Hardware & Equipment",40042017
"SEQ","SEQUOIA FINANCIAL GROUP LTD","2000-09-19","Diversified Financials",89388185
"SER","STRATEGIC ENERGY RESOURCES LIMITED","1991-08-15","Materials",6065995
"SES","SECOS GROUP LTD","1996-11-21","Materials",77705770
"SFC","SCHAFFER CORPORATION LIMITED","1974-01-01","Automobiles & Components",260852425
"SFG","SEAFARMS GROUP LIMITED","1990-06-14","Food, Beverage & Tobacco",77385587
"SFM","SANTA FE MINERALS LTD","2011-10-07","Materials",7645973
"SFR","SANDFIRE RESOURCES LIMITED","2004-03-04","Materials",2086807835
"SFX","SHEFFIELD RESOURCES LIMITED","2010-12-15","Materials",180225529
"SGA","SARYTOGAN GRAPHITE LIMITED",,"Materials",0
"SGC","SACGASCO LIMITED","2005-10-11","Energy",12678585
"SGF","SG FLEET GROUP LIMITED","2014-03-04","Commercial & Professional Services",848122602
"SGH","SLATER & GORDON LIMITED","2007-05-21","Consumer Services",81907761
"SGI","STEALTH GLOBAL HOLDINGS LTD","2018-10-02","Capital Goods",9970000
"SGLLV","RICEGROWERS LIMITED","2019-04-08","Food, Beverage & Tobacco",417522612
"SGM","SIMS LIMITED","2005-10-21","Materials",3628576056
"SGP","STOCKLAND","1987-02-19","Real Estate",9166739182
"SGQ","ST GEORGE MINING LIMITED","2010-11-16","Materials",27150695
"SGR","THE STAR ENTERTAINMENT GROUP LIMITED","2011-06-06","Consumer Services",2808441920
"SH2","SYNERGEN MET LIMITED",,"Capital Goods",0
"SHA","SHAPE AUSTRALIA CORPORATION LIMITED","2021-12-17","Capital Goods",167314579
"SHE","STONEHORSE ENERGY LIMITED","2000-07-24","Energy",10266901
"SHG","SINGULAR HEALTH GROUP LTD","2021-02-12","Health Care Equipment & Services",16447819
"SHH","SHREE MINERALS LIMITED","2010-02-18","Materials",12222369
"SHJ","SHINE JUSTICE LTD","2013-05-15","Consumer Services",185390139
"SHL","SONIC HEALTHCARE LIMITED","1987-04-30","Health Care Equipment & Services",16697650782
"SHM","SHRIRO HOLDINGS LIMITED","2015-06-23","Consumer Durables & Apparel",90841032
"SHN","SUNSHINE GOLD LIMITED","2002-01-25","Materials",22100850
"SHO","SPORTSHERO LIMITED","2008-06-12","Media & Entertainment",14244859
"SHP","SOUTH HARZ POTASH LTD","2017-01-20","Materials",77086150
"SHV","SELECT HARVESTS LIMITED","1978-06-15","Food, Beverage & Tobacco",740219006
"SI6","SI6 METALS LIMITED","2008-01-18","Materials",12853296
"SIG","SIGMA HEALTHCARE LIMITED","2002-10-30","Health Care Equipment & Services",497859916
"SIH","SIHAYO GOLD LIMITED","1988-03-31","Materials",14741846
"SIO","SIMONDS GROUP LIMITED","2014-11-17","Consumer Durables & Apparel",45642623
"SIQ","SMARTGROUP CORPORATION LTD","2014-07-02","Commercial & Professional Services",1119586262
